date,open,high,low,close,volume
2025-03-10,22521.8,22676.8,22429.0,22460.3,0.0
2025-03-11,22346.0,22522.1,22314.7,22497.9,0.0
2025-03-12,22536.3,22577.4,22329.5,22470.5,0.0
2025-03-13,22541.5,22558.0,22377.3,22397.2,0.0
2025-03-17,22353.2,22577.0,22353.2,22508.8,0.0
2025-03-18,22662.2,22857.8,22599.2,22834.3,0.0
2025-03-19,22875.0,22940.7,22808.0,22907.6,0.0
2025-03-20,23036.6,23216.7,22974.0,23190.7,0.0
2025-03-21,23168.2,23402.7,23132.8,23350.4,0.0
2025-03-24,23515.4,23708.8,23433.5,23658.3,0.0
2025-03-25,23751.5,23869.6,23601.4,23668.7,0.0
2025-03-26,23701.0,23736.5,23451.7,23486.8,0.0
2025-03-27,23434.0,23646.5,23412.2,23592.0,0.0
2025-03-28,23600.4,23649.2,23450.2,23519.3,0.0
2025-04-01,23341.1,23565.2,23136.4,23165.7,0.0
2025-04-02,23192.6,23350.0,23158.5,23332.3,0.0
2025-04-03,23150.3,23306.5,23145.8,23250.1,0.0
2025-04-04,23190.4,23214.7,22857.5,22904.5,0.0
2025-04-07,21758.4,22254.0,21743.7,22161.6,0.0
2025-04-08,22446.8,22697.2,22270.8,22535.8,0.0
2025-04-09,22460.3,22468.7,22353.2,22399.2,0.0
2025-04-11,22695.4,22923.9,22695.4,22828.5,0.0
2025-04-15,23368.3,23368.3,23207.0,23328.5,0.0
2025-04-16,23344.1,23452.2,23273.0,23437.2,0.0
2025-04-17,23401.8,23872.3,23298.5,23851.7,0.0
2025-04-21,23949.2,24189.5,23903.7,24125.5,0.0
2025-04-22,24185.4,24242.6,24072.0,24167.2,0.0
2025-04-23,24357.6,24359.3,24120.0,24329.0,0.0
2025-04-24,24277.9,24347.8,24216.2,24246.7,0.0
2025-04-25,24289.0,24365.5,23847.8,24039.3,0.0
2025-04-28,24070.2,24355.1,24054.0,24328.5,0.0
2025-04-29,24370.7,24457.7,24290.8,24336.0,0.0
2025-04-30,24342.0,24396.2,24198.8,24334.2,0.0
2025-05-02,24311.9,24589.2,24238.5,24346.7,0.0
2025-05-05,24419.5,24526.4,24400.7,24461.2,0.0
