2026-04-09 15:47:55,880 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:57,251 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:58,572 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:59,898 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:01,321 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:02,646 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:03,786 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:04,922 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:06,090 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:07,225 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:08,425 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:09,633 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:10,815 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:12,008 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:13,219 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:14,356 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:15,491 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:16,621 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:17,740 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:18,865 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:20,012 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:21,143 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:22,274 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:23,389 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:24,542 | INFO | market_scheduler | NIFTY spot=23775.10
